's-Hertogenbosch | The Dutch Republic
Aalst | The Spanish Netherlands
Abergavenny | England
Agrigento | The Kingdom of Sicily
Aire-sur-la-Lys | The Spanish Netherlands
Alhambra | The Spanish Empire
Almodóvar del Campo | Spain
Alvito | The Papal States
Amboise | France
Amersfoort | The Dutch Republic
Amiens | France
Amsterdam | The Dutch Republic
Angers | France
Anizy-le-Château | France
Antwerpen | The Spanish Netherlands
Aosta | The Holy Roman Empire
Armentières | The Spanish Netherlands
Arona | The Duchy of Milan
Arras | France
Asti | The Duchy of Savoy
Ath | The Spanish Netherlands
Augsburg | The Holy Roman Empire
Autun | France
Avesnes-sur-Helpe | France
Avignon | The Papal States
Baeza | Spain
Balvano | The Kingdom of Naples
Bapaume | France
Basingstoke | England
Bassano del Grappa | The Republic of Venice
Beaumont | France
Bergamo | The Republic of Venice
Bergen op Zoom | The Dutch Republic
Bergues | The Spanish Netherlands
Beringen | The Spanish Netherlands
Besançon | France
Besse-et-Saint-Anastaise | France
Biddulph | England
Binche | The Spanish Netherlands
Bologna | The Papal States
Bonilla de la Sierra | Spain
Bordeaux | France
Borgloon | The Spanish Netherlands
Bouillon | The Spanish Netherlands
Bourges | France
Braine-le-Comte | The Spanish Netherlands
Bratton | England
Brecht | The Spanish Netherlands
Brecon | Wales
Breda | The Dutch Republic
Brescia | The Republic of Venice
Brindisi | The Kingdom of Naples
Bristol | England
Brive-la-Gaillarde | France
Brugge | The Spanish Netherlands
Brussel | The Spanish Netherlands
Burgos | Spain
Bury St Edmunds | England
Béthune | France
Caen | France
Cambrai | The Spanish Netherlands
Campli | The Papal States
Canterbury | England
Capua | The Kingdom of Naples
Cassel | The Spanish Netherlands
Catania | The Kingdom of Sicily
Cawthorne | England
Charenton-le-Pont | France
Charleville-Mézières | France
Chartres | France
Chièvres | The Spanish Netherlands
Châlons-en-Champagne | France
Châteaudun | France
Clacton-on-Sea | England
Como | The Duchy of Milan
Cosenza | The Kingdom of Naples
Couvin | The Spanish Netherlands
Coventry | England
Crespin | France
Córdoba | Spain
Daventry | England
Derbyshire | England
Devon | England
Die | France
Diest | The Spanish Netherlands
Digne-les-Bains | France
Dijon | France
Dinant | The Spanish Netherlands
Dinton | England
Diss | England
Dole | France
Don Álvaro | Spain
Dordrecht | The Dutch Republic
Douai | The Spanish Netherlands
Dublin | Ireland
Durbuy | The Spanish Netherlands
Elche | Spain
Elda | Spain
Erp | The Dutch Republic
Estella | Spain
Etwall | England
Fara in Sabina | The Papal States
Ferrara | The Duchy of Ferrara
Firenze | The Grand Duchy of Tuscany
